,city,decade,Income ($)
0,Port Vila,1920,20900
1,Fort-de-France,1930,9300
2,Sanaa,1940,5400
3,Lome,1940,11600
4,Luanda,1940,9300
5,Juba,1920,34400
6,Lima,1940,34400
7,Juba,1920,24100
8,Chisinau,1910,9300
9,Willemstad,1880,12400
10,Astana,1930,6500
11,Dili,20,9000
12,Minsk,1900,3100
13,Male,1890,6500
14, Asia,19,9300
15,Baghdad,1920,9300
16,Mariehamn,1920,11600
17,Nouakchott,19,24100
18,Noumea,1860,43100
19,Juba,1920,9300
20,Windhoek,19,11600
21,Marigot,1930,20900
22,Algiers,19,9300
23,Longyearbyen,1920,9300
24,San Juan,1920,11600
25,Bratislava,1940,5400
26,New Delhi,20,11600
27, Americas,19,20900
28,Nouakchott,1890,5400
29,Bratislava,1890,12400
30,Dushanbe,1930,25800
31,Prague,1920,9300
32,Castries,1920,9300
33,Port-aux-Francais,1880,9300
34,San Marino,1880,5400
35,Moroni,19,25800
36,Funafuti,1910,22200
37, Asia,19,12400
38,Bridgetown,1930,20900
39,Fort-de-France,1930,34400
40,Macao,1930,9000
41,Gustavia,1930,9300
42,Porto-Novo,1920,34700
43,Kigali,20,9300
44,Tunis,1930,17200
45,Ulan Bator,1930,9000
46,Sofia,1910,9300
47,Moroni,21,34400
48,Suva,1900,9300
49,The Valley,1900,22200
50,Ouagadougou,19,11600
51,Ljubljana,1930,17200
52,Berlin,1900,22200
53,Brasilia,1920,17200
54,Nairobi,20,22200
55,Belmopan,1860,17200
56,Reykjavik,1940,11600
57,Brazzaville,1890,11600
58,Khartoum,1930,12400
59,Buenos Aires,1940,12400
60,Doha,20,9300
61,Astana,20,3100
62, Americas,19,22200
63,Paramaribo,1910,34400
64,Kiev,1900,11600
65,Dodoma,1920,11600
66,Kabul,1940,22200
67,The Valley,1910,9300
68, Americas,19,25800
69,Dublin,1920,43100
70,Brussels,1890,17200
71,Amman,1940,3100
72,Yaounde,1910,20900
73, Europe,19,20900
74,Vaduz,1930,6500
75, Oceania,20,20900
76,Niamey,1920,12400
77,Bandar Seri Begawan,1900,6500
78,Sanaa,1900,6500
79,Berlin,1900,11600
80,Charlotte Amalie,1920,9300
81,Pyongyang,1930,12400
82,Port-au-Prince,1940,6500
83,San Jose,1930,9300
84, Asia,19,42800
85,Damascus,1890,3100
86,N'Djamena,1880,9300
87, Western Africa,18,34400
88,Avarua,1940,17200
89,Port-au-Prince,1890,11600
90,Berlin,1900,25800
91,Addis Ababa,1910,17200
92,Suva,1900,9000
93, Americas,19,12400
94,San Marino,1940,17200
95,Yerevan,1920,12400
96,Quito,1930,12400
97,Tashkent,1980,17200
98,Brasilia,1920,22200
99, Europe,19,9300
100,Basse-Terre,1940,34400
101,Cayenne,1880,9000
102,Port-aux-Francais,1890,11600
103,Tehran,1930,17200
104,Nicosia,1900,11600
105,Kiev,1960,9300
106, Oceania,20,17200
107,San Juan,1880,22200
108,Bandar Seri Begawan,1920,17200
109,Mogadishu,20,22200
110,Nassau,1940,17200
111,Nuuk,1920,3100
112,Port-aux-Francais,1930,6500
113,Riga,1920,17200
114, Americas,19,17200
115,Pago Pago,1920,9300
116,Charlotte Amalie,1900,20900
117,Georgetown,1950,17200
118, Europe,20,9300
119, Europe,19,5400
120,Skopje,1840,6500
121,Manila,1930,11600
122,Saint-Denis,1940,9300
123,Cayenne,1930,17200
124,Beijing,1910,22200
125,Dhaka,1930,20900
126,Brasilia,1940,5400
127, Europe,20,6500
128,Bangui,19,9000
129, Europe,20,6500
130, Europe,19,5400
131,Bujumbura,1930,9000
132,Hong Kong,1900,9000
133,Banjul,1930,9300
134,Buenos Aires,1930,22200
135,Praia,1930,22200
136,Antananarivo,1910,9300
137,Road Town,1950,9300
138,Podgorica,1890,11600
139,Hagatna,1900,9000
140,New Delhi,1940,34400
141,New Delhi,1920,9000
142,Canberra,19,49000
143,Torshavn,1930,20900
144,Vaduz,1920,11600
145,Saipan,1930,5400
146, Europe,19,17200
147,Maseru,1950,17200
148,Ottawa,1950,11600
149,Monaco,1920,6500
150,Helsinki,1930,9300
151,Riga,1940,24100
152,Port Moresby,1920,9300
153,Bissau,1920,6500
154,Castries,1900,11600
155, Americas,19,45500
156,St. George's,1920,9000
157,Guatemala City,1910,9300
158,Khartoum,1930,9300
159,Moroni,19,9300
160,Abuja,19,11600
161, Southern Europe,21,11600
162,Djibouti,1910,42800
163,Tbilisi,1890,9300
164, Americas,19,12400
165,Tehran,1820,17200
166,Castries,1930,9300
167,Ashgabat,1930,9300
168,The Valley,1930,17200
169,Bissau,1920,20900
170,Colombo,1920,42800
171,Tallinn,1910,17200
172,Saint Helier,1920,3100
173,Maseru,19,22200
174,Bangkok,1940,24100
175,Malabo,1920,42800
176,Brasilia,1890,9300
177,Amman,1920,22200
178,Riga,1930,11600
179,Lilongwe,1920,3100
180, Asia,19,20900
181,Madrid,1890,9300
182,St. George's,20,12400
183, Americas,19,9000
184,Maseru,19,9300
185,London,1920,22200
186,Saint-Denis,20,11600
187,Ulan Bator,1900,9000
188,Accra,1930,9300
189,Port Moresby,1920,11600
190,Dodoma,1920,38600
191,Tarawa,19,24100
192,Kuala Lumpur,1910,6500
193,Santiago,1880,6500
194,Banjul,1890,34700
195,Noumea,1920,9300
196,San Jose,1890,11600
197, Asia,19,5400
198,Accra,1890,17200
199, Eastern Africa,18,11600
200,Vientiane,1930,11600
201, Americas,19,24100
202,Hagatna,1930,9300
203,Guatemala City,1910,9300
204,Fort-de-France,1930,6500
205,Basseterre,1920,9000
206, Europe,19,9300
207,Maseru,1930,17200
208,Canberra,1920,17200
209,Port Louis,19,24100
210,Kingston,1890,9300
211,Singapur,1790,9300
212,Brasilia,1920,17200
213,Jerusalem,1930,17200
214,Kingston,1920,12400
215,Bangkok,1900,38600
216,Pago Pago,1880,9300
217,Marigot,1960,9300
218,Athens,1900,22200
219,Reykjavik,1920,5400
220,Dushanbe,1930,9300
221,Skopje,1940,20900
222,Phnom Penh,20,20900
223,Abuja,1920,6500
224,Nouakchott,1940,9000
225, Europe,20,25800
226, Oceania,20,6500
227, Americas,19,12400
228, Americas,19,5400
229, Europe,19,12400
230,Paris,1920,3100
231, Americas,19,9300
232,Bamako,1910,9300
233,Sanaa,1950,11600
234,London,1890,49000
235,Saint Helier,1920,6500
236,Kiev,1900,5400
237,Pyongyang,1890,9300
238,Paramaribo,20,20900
239,Beijing,1930,11600
240,Ottawa,1890,9300
241,Bratislava,1910,9000
242,Tashkent,1940,3100
243,Mogadishu,1950,9000
244,Sucre,1920,12400
245,Kuwait City,1890,9000
246,Dili,20,17200
247,Dhaka,1930,9300
248,Guatemala City,20,6500
249,Amman,1930,17200
250,Nuuk,1940,6500
251,Asmara,20,9000
252,Nairobi,20,9000
253,Moscow,1950,9000
254,Gibraltar,1890,5400
255,Hong Kong,1920,6500
256,The Valley,1960,22200
257,Tokyo,1940,9000
258,Tegucigalpa,1930,9000
259,Berlin,1900,6500
260, Asia,19,22200
261,Havana,1880,9300
262,Ljubljana,1910,43100
263,N'Djamena,1920,17200
264,Havana,1930,9300
265,West Island,1930,9300
266, Europe,19,9000
267,Bujumbura,19,22200
268, Europe,20,9300
269,Conakry,1920,12400
270, Europe,19,9300
271,Vientiane,1910,12400
272, Europe,20,17200
273,Tashkent,1930,34700
274,Marigot,1930,17200
275,Quito,1900,17200
276,Dodoma,1940,9300
277,Philipsburg,1940,11600
278,Bern,1920,3100
279,Dili,1930,17200
280,Oslo,1930,17200
281,Athens,1900,9300
282,Athens,1910,24100
283,Maseru,1880,24100
284,Kuwait City,1940,11600
285,George Town,1950,20900
286,Stanley,1940,17200
287, Europe,19,11600
288,Yamoussoukro,1920,12400
289,Roseau,1940,12400
290,Ljubljana,1920,9000
291, Europe,19,9300
292, Americas,19,25800
293,Yerevan,20,9300
294, Asia,19,9300
295,Bamako,1930,11600
296,Yaren,1910,22200
297,Doha,1940,24100
298,Addis Ababa,1920,42800
299,Tegucigalpa,1920,9300
300,Kingston,1990,5400
301, Europe,19,34700
302,Antananarivo,1940,5400
303,Reykjavik,1930,12400
304, Europe,19,9300
305,Mata Utu,1930,5400
306,Castries,1920,5400
307,Georgetown,1940,24100
308,Canberra,1920,9300
309,Minsk,1900,42800
310,Valletta,1940,17200
311,Nuuk,1920,45500
312,Gustavia,1930,3100
313,Djibouti,1890,9300
314,George Town,1950,22200
315,Hamilton,1920,9000
316,Yerevan,1890,20900
317,Beijing,1910,9300
318,Maputo,1910,39500
319,Tripolis,1930,17200
320,Basseterre,1930,12400
321,Diego Garcia,1920,9000
322,Port-au-Prince,1950,22200
323,Chisinau,1940,34400
324,Rome,1910,9300
325,Mata Utu,1920,11600
326,Nairobi,1930,9000
327,Tarawa,1890,34400
328,Tegucigalpa,1880,3100
329,Saint-Denis,1940,20900
330,East Jerusalem,1930,5400
331,Taipei,1890,20900
332,St. George's,20,9000
333,Dushanbe,1870,3100
334, Europe,19,5400
335, Americas,19,22200
336,Lilongwe,19,9300
337,Phnom Penh,1930,9300
338,Gustavia,1810,24100
339,Djibouti,1930,3100
340,Maseru,1920,9300
341, Asia,19,3100
342,Beijing,1880,24100
343,Hanoi,1940,12400
344,Saint-Pierre,1900,5400
345, Southern Asia,18,9300
346,Adamstown,1930,12400
347,Port Vila,1800,22200
348,Santo Domingo,1890,5400
349,Dodoma,1930,9300
350,Nouakchott,1930,9000
351,Vilnius,1940,11600
352,Thimphu,1900,5400
353,Bamako,1920,9000
354,Kiev,1910,24100
355,Fort-de-France,1870,9000
356,Bishkek,1930,22200
357, Oceania,20,9300
358,Road Town,1950,6500
359,San Salvador,1910,9300
360, Asia,19,17200
361,George Town,1930,17200
362,Tokyo,1910,9300
363,Asmara,19,22200
364,Dublin,1900,17200
365, Asia,19,17200
366,Athens,1920,17200
367,Honiara,1890,24100
368,Montevideo,1940,11600
369,Wellington,1930,6500
370,Philipsburg,20,9000
371,Nuku'alofa,1930,24100
372, Europe,20,17200
373,Palikir,1960,9300
374,Bujumbura,1910,9000
375,Pristina,1940,11600
376, Europe,19,12400
377,Mata Utu,19,34700
378,Damascus,1880,12400
379,Athens,1890,9000
380,Maseru,1880,22200
381, Europe,19,9300
382,St. George's,1940,6500
383,Lilongwe,19,17200
384,Port Moresby,1860,12400
385,New Delhi,1910,24100
386,Saint-Pierre,1930,22200
387,Port-aux-Francais,1920,11600
388,Road Town,1910,25800
389, Asia,19,20900
390,Noumea,1930,11600
391,Warsaw,1870,20900
392,Alofi,19,25800
393,Dakar,20,9000
394,Sarajevo,1920,9300
395,Bishkek,1940,11600
396, Asia,19,9000
397,Paris,1930,12400
398,Taipei,1900,12400
399, Americas,19,20900
400,Plymouth,1880,9300
401,Colombo,1940,17200
402,Pyongyang,1920,20900
403,Adamstown,1940,12400
404,Luanda,19,11600
405, Asia,19,34700
406,Belmopan,20,3100
407,Sao Tome,19,3100
408,N'Djamena,1950,11600
409, Americas,19,5400
410,Belmopan,20,6500
411,N'Djamena,1940,17200
412,Funafuti,1930,9000
413,Vientiane,1930,12400
414,Lome,1880,3100
415,Porto-Novo,1940,6500
416,Vienna,1930,12400
417,Colombo,1940,9300
418,Praia,1920,22200
419,Nay Pyi Taw,1930,9300
420, Americas,19,3100
421, Oceania,20,17200
422,Basseterre,1860,17200
423,Ottawa,1930,9300
424,Riyadh,20,34400
425,Diego Garcia,1880,12400
426,Tokyo,1920,17200
427,Chisinau,1890,38600
428,Roseau,1900,24100
429,Dodoma,20,9000
430, Europe,20,11600
431,Mogadishu,1930,9300
432, Europe,20,5400
433,Kiev,1930,9000
434,Saint-Pierre,1940,9300
435,Ulan Bator,1920,22200
436,Hanoi,1880,9300
437,Bern,1940,9300
438,Nouakchott,1890,3100
439,Bucharest,1940,3100
440,Brazzaville,1890,9300
441, Asia,19,25800
442,Brazzaville,1900,22200
443,Santo Domingo,1890,5400
444,George Town,1920,22200
445,Mbabane,1950,9300
446,Antananarivo,1910,12400
447,Washington,1920,24100
448,New Delhi,1920,24100
449,Juba,19,9000
450,Mbabane,19,9300
451,Seoul,1890,11600
452,Mbabane,19,17200
453,Basseterre,1940,17200
454, Europe,19,9300
455,Nairobi,1900,5400
456,Caracas,1900,24100
457,Hong Kong,1930,12400
458,Port of Spain,1940,17200
459,Bangui,1930,20900
460,Oslo,1890,9300
461,Luanda,1930,25800
462,Tegucigalpa,1920,9300
463,Marigot,1890,11600
464,Bamako,18,6500
465,Cayenne,1890,11600
466,Majuro,1930,9300
467,Wellington,19,34700
468,Bujumbura,1930,17200
469,George Town,1920,34400
470,Mbabane,1910,9300
471, Europe,20,12400
472,Kinshasa,19,9300
473,Noumea,1910,20900
474, Oceania,20,17200
475,Maputo,1950,11600
476,Harare,19,11600
477, Europe,19,12400
478,San Juan,20,22200
479,Sanaa,1920,9300
480, Asia,19,9300
481, Eastern Africa,18,12400
482,Asuncion,1930,17200
483,Amsterdam,1950,17200
484,Khartoum,1900,9000
485,Conakry,20,9000
486,Niamey,1940,17200
487,Mata Utu,1930,9300
488,Kingstown,1930,39500
489,Port of Spain,1950,11600
490,Tripolis,19,12400
491,Addis Ababa,1900,11600
492,Algiers,1940,34400
493,Male,1890,6500
494,Sarajevo,1930,9000
