,city,year,Income ($)
0, Vanuatu,20,20900
1,Fort-de-France,1930,9300
2,Sanaa,1940,5400
3,Lome,1940,11600
4,Luanda,1940,9300
5, South Sudan,20,34400
6,Lima,1940,34400
7, South Sudan,20,24100
8, Moldova,20,9300
9, Curaçao,19,12400
10, Kazakhstan,20,6500
11, East Timor,20,9000
12, Belarus,20,3100
13, Maldives,19,6500
14, Taiwan,19,9300
15, Iraq,20,9300
16,Mariehamn,1920,11600
17, Mauritania,19,24100
18, New Caledonia,19,43100
19, South Sudan,20,9300
20, Namibia,19,11600
21, Saint-Martin (French part),20,20900
22, Algeria,19,9300
23, Svalbard And Jan Mayen Islands,20,9300
24, Puerto Rico,20,11600
25, Slovakia,20,5400
26, India,20,11600
27, Canada,19,20900
28, Mauritania,19,5400
29, Slovakia,19,12400
30,Dushanbe,1930,25800
31,Prague,1920,9300
32, Saint Lucia,20,9300
33, French Southern Territories,19,9300
34, San Marino,19,5400
35, Comoros,19,25800
36, Tuvalu,20,22200
37, Cambodia,19,12400
38,Bridgetown,1930,20900
39,Fort-de-France,1930,34400
40,Macao,1930,9000
41,Gustavia,1930,9300
42,Porto-Novo,1920,34700
43, Rwanda,20,9300
44,Tunis,1930,17200
45,Ulan Bator,1930,9000
46, Bulgaria,20,9300
47, Eastern Africa,21,34400
48,Suva,1900,9300
49, Anguilla,20,22200
50, Burkina Faso,19,11600
51, Slovenia,20,17200
52, Germany,20,22200
53,Brasilia,1920,17200
54, Kenya,20,22200
55, Belize,19,17200
56,Reykjavik,1940,11600
57, Congo,19,11600
58, Sudan,20,12400
59,Buenos Aires,1940,12400
60, Qatar,20,9300
61, Kazakhstan,20,3100
62, Martinique,19,22200
63, Suriname,20,34400
64, Ukraine,20,11600
65, Tanzania,20,11600
66, Afghanistan,20,22200
67, Anguilla,20,9300
68, Sint Maarten (Dutch part),19,25800
69, Ireland,20,43100
70, Belgium,19,17200
71,Amman,1940,3100
72, Cameroon,20,20900
73, Belarus,19,20900
74,Vaduz,1930,6500
75, Tonga,20,20900
76, Niger,20,12400
77, Brunei,20,6500
78, Yemen,20,6500
79, Germany,20,11600
80, Virgin Islands (US),20,9300
81, Korea North,20,12400
82,Port-au-Prince,1940,6500
83,San Jose,1930,9300
84, United Arab Emirates,19,42800
85, Syria,19,3100
86, Chad,19,9300
87, Western Africa,18,34400
88,Avarua,1940,17200
89, Haiti,19,11600
90, Germany,20,25800
91, Ethiopia,20,17200
92,Suva,1900,9000
93, Cayman Islands,19,12400
94,San Marino,1940,17200
95, Armenia,20,12400
96,Quito,1930,12400
97, Uzbekistan,20,17200
98,Brasilia,1920,22200
99, Italy,19,9300
100, Guadeloupe,20,34400
101, French Guiana,19,9000
102, French Southern Territories,19,11600
103,Tehran,1930,17200
104, Cyprus,20,11600
105, Ukraine,20,9300
106, Cocos (Keeling) Islands,20,17200
107, Puerto Rico,19,22200
108, Brunei,20,17200
109, Somalia,20,22200
110,Nassau,1940,17200
111, Greenland,20,3100
112,Port-aux-Francais,1930,6500
113, Latvia,20,17200
114, Turks And Caicos Islands,19,17200
115, American Samoa,20,9300
116, Virgin Islands (US),20,20900
117, Guyana,20,17200
118, United Kingdom,20,9300
